energy_kev,unfiltered_density_photons_cm2_kev,unfiltered_bin_photons_cm2,al_mu_mm_inv,al_transmission,filtered_bin_photons_cm2
1.5,4871461.0181292882,4871461.0181292882,108.56743002802691,1.3317127600165498e-118,6.4873867977659864e-112
2.5,2683051.8569002482,2683051.8569002482,347.19946337580518,0,0
3.5,3037412.7349790749,3037412.7349790749,140.13208646129164,7.1370753305114703e-153,2.167824349940053e-146
4.5,4349289.3870713301,4349289.3870713301,70.165441785363981,6.5893037941651166e-77,2.865878906015119e-70
5.5,6210818.1564214947,6210818.1564214947,39.86281184687077,5.2420596000958229e-44,3.2557478941318735e-37
6.5,8494244.409125844,8494244.409125844,24.745345136395677,1.3585727088191695e-27,1.1540048636278184e-20
7.5,15674578.486618349,15674578.486618349,16.379074637610792,1.6468182284514231e-18,2.5813181575055616e-11
8.5,122079318.13398306,122079318.13398306,11.383491193013338,4.3705035285282773e-13,5.3354809066489909e-05
9.5,120405673.84158066,120405673.84158066,8.2231247222097661,1.1799287218272916e-09,0.14207011283665003
10.5,10319412.977685012,10319412.977685012,6.1306532395482645,2.2066213660454445e-07,2.2771037161606387
11.5,14789646.881257687,14789646.881257687,4.692010806875448,8.0484823103139033e-06,119.03421129959168
12.5,5894632.8168963585,5894632.8168963585,3.6710320407969634,0.00010333027958507134,609.09405702123729
13.5,6315200.5078867953,6315200.5078867953,2.9268795669738599,0.00066401958234806936,4193.4168036913052
14.5,7094854.3793402547,7094854.3793402547,2.3720121277337411,0.0026584013865939855,18860.970719720543
15.5,7866381.2111484809,7866381.2111484809,1.9500672337994911,0.0076338109857242674,60050.46730756024
16.5,8604461.8505065478,8604461.8505065478,1.6236737818241689,0.017263092212067888,148539.61836051484
17.5,9288658.2590271384,9288658.2590271384,1.3673803889815535,0.032763146668633759,304325.67289532244
18.5,9913670.7322978098,9913670.7322978098,1.1634263001379439,0.054553917723016279,540829.57746284921
19.5,10465004.876415888,10465004.876415888,0.99916949733058313,0.082255605200322629,860805.30953391641
20.5,10939687.973517809,10939687.973517809,0.8654563165937047,0.11490600973086074,1257035.8927376175
21.5,11336295.739713831,11336295.739713831,0.75553291100367548,0.15124832182431217,1714595.7063358165
22.5,11655295.449748272,11655295.449748272,0.66434602306066926,0.18997457004424412,2214209.741804563
23.5,11900024.728378873,11900024.728378873,0.58807866069857651,0.22988027438404784,2735580.9497366897
24.5,12073293.828147203,12073293.828147203,0.52380746713177317,0.26994996071914867,3259185.1946590776
25.5,12182039.263862321,12182039.263862321,0.46926839177316648,0.30938433281701833,3768932.0900007654
26.5,12232460.309658028,12232460.309658028,0.42268992354390156,0.34759237955527927,4251909.9868495427
27.5,12229262.687171223,12229262.687171223,0.38267276333849826,0.38416546977161786,4698060.445177651
28.5,12179235.715661483,12179235.715661483,0.34810189660227858,0.41884483849157617,5101210.0162770702
29.5,12088947.833760718,12088947.833760718,0.31808158455767871,0.45148913917663197,5458028.6510158367
30.5,11964850.819445111,11964850.819445111,0.29188181351993697,0.4820513989457918,5767673.0756912194
31.5,11811910.201998111,11811910.201998111,0.26891310449547057,0.51054180152216089,6030473.913946107
32.5,11634452.317050686,11634452.317050686,0.24869551193278797,0.53700988338332922,6247815.8820082936
33.5,11436945.38195939,11436945.38195939,0.23082804892352621,0.5615412057827166,6422316.1002565483
34.5,11223704.852347761,11223704.852347761,0.21497765544524419,0.58423958113347252,6557332.6217013793
35.5,10998628.231596908,10998628.231596908,0.20086618187716163,0.60521866609322128,6656575.1071823258
36.5,10764511.363705665,10764511.363705665,0.18826014038111666,0.62459592960772037,6723469.9819866093
37.5,10523391.19714611,10523391.19714611,0.17696258040453938,0.64248844230086322,6761157.2179770209
38.5,10277600.693047831,10277600.693047831,0.16680660647782192,0.65901003551627613,6773041.9977475554
39.5,10028954.156284498,10028954.156284498,0.15765017474903936,0.67426947268166482,6762217.6305065388
40.5,9779147.203209823,9779147.203209823,0.14937402539431982,0.68836568491311412,6731629.3624036945
41.5,9529833.5180167705,9529833.5180167705,0.14187354578928579,0.70139514408632464,6684178.9534880584
42.5,9281998.0751424376,9281998.0751424376,0.13505698590730614,0.71345032593063729,6622244.5519979196
